date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:21:40	376/376	---M--	200	added ('OK')	text/plain	etag:W/%22178-1EVMlDGzKcEwIuN8Tt0UBxpEK08%22	https://www.virtualstaffing.net/robots.txt		(from )
15:21:41	525674/525674	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Mar%202023%2007:22:14%20GMT	https://www.virtualstaffing.net/	C:/Users/GAMERZ/Desktop/dev-folder/websites/virtualstaffing/www.virtualstaffing.net/index.html	(from )
15:21:42	3801/3801	---M--	200	added ('OK')	image/png	date:Sun,%2005%20Mar%202023%2017:57:02%20GMT	https://static.wixstatic.com/media/d2db09_ffe8cd4c2e0f4aa482030fe4f017d7c1~mv2.png/v1/fill/w_32%2Ch_32%2Clg_1%2Cusm_0.66_1.00_0.01/d2db09_ffe8cd4c2e0f4aa482030fe4f017d7c1~mv2.png	C:/Users/GAMERZ/Desktop/dev-folder/websites/virtualstaffing/static.wixstatic.com/media/d2db09_ffe8cd4c2e0f4aa482030fe4f017d7c1_mv2.png/v1/fill/w_32,h_32,lg_1,usm_0.66_1.00_0.01/d2db09_ffe8cd4c2e0f4aa482030fe4f017d7c1_mv2.png	(from https://www.virtualstaffing.net/)
15:21:42	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Users/GAMERZ/Desktop/dev-folder/websites/virtualstaffing/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.virtualstaffing.net/)
15:21:42	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/Users/GAMERZ/Desktop/dev-folder/websites/virtualstaffing/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.virtualstaffing.net/)
15:21:43	65588/65588	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2022%20Feb%202023%2011:03:04%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/Users/GAMERZ/Desktop/dev-folder/websites/virtualstaffing/polyfill.io/v3/polyfill.mind82c.js	(from https://www.virtualstaffing.net/)
15:21:43	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	C:/Users/GAMERZ/Desktop/dev-folder/websites/virtualstaffing/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://www.virtualstaffing.net/)
15:21:44	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Mar%202023%2007:22:17%20GMT	https://www.virtualstaffing.net/decodeURIComponent(e	C:/Users/GAMERZ/Desktop/dev-folder/websites/virtualstaffing/www.virtualstaffing.net/decodeURIComponent(e.5.delayed	(from https://www.virtualstaffing.net/)
15:21:45	251/251	---M--	200	added ('OK')	text/xml	date:Wed,%2008%20Mar%202023%2007:22:18%20GMT	https://www.virtualstaffing.net/sitemap.xml	C:/Users/GAMERZ/Desktop/dev-folder/websites/virtualstaffing/www.virtualstaffing.net/sitemap.xml	(from https://www.virtualstaffing.net/)
15:21:45	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Mar%202023%2007:22:18%20GMT	https://www.virtualstaffing.net/feed.xml	C:/Users/GAMERZ/Desktop/dev-folder/websites/virtualstaffing/www.virtualstaffing.net/feed.7.delayed	(from https://www.virtualstaffing.net/)
